Età del/la bambino/a (mesi);Sesso del/la bambino/a;Da chi è compilato il questionario?;Avete altri/e figli/e che vivono con voi?;Se sì, quanti anni ha/hanno? (mesi);Mediamente, con quale figura suo/a figlio/a trascorre più tempo giocando in casa?;In media al giorno, oltre all'asilo/scuola, quanto tempo suo/a figlio/a trascorre giocando (da solo o con altri) DURANTE LA SETTIMANA?;In media al giorno, oltre all'asilo/scuola, quanto tempo suo/a figlio/a trascorre giocando (da solo o con altri) DURANTE IL FINE SETTIMANA?;Quanto tempo trascorre giornalmente, anche in modo non continuativo, guardando la televisione?;Quanto tempo trascorre giornalmente, anche in modo non continuativo, usando uno smarphone/tablet/computer?;Nel complesso, le figure che si prendono cura di suo/a figlio/a (nonni, genitori, babysitter) quanto tempo trascorrono giocando attivamente con lui/lei?;Quando gioca da solo/a, che tipo di giochi preferisce?;Quando giocate insieme, che tipo di giochi preferite?;E' soddisfatto/a del tempo che dedica a giocare con suo/a figlio/a?;Se ha poche occasioni per giocare con suo/a figlio/a, quale ritiene sia la motivazione? (es. mancanza di tempo, non ne sentite il bisogno, non sapete a cosa giocare...);Quanto si diverte quando gioca insieme a suo figlio?;Quanto ritiene che il gioco di suo/a figlio/a contribuisca al suo sviluppo?;Suo/a figlio/a ha occasioni di giocare con altri bambini oltre all'asilo/scuola? ;Se ha risposto di no, perchè?;Quando il tempo lo permette, gioca anche all'aperto?;Oltre alla scuola/asilo, svolge attività extrascolastiche? (sport, musica, arte...);Quale?;Suo/a figlio/a presenta una fragilità in una delle seguenti aree dello sviluppo?;Suo/a figlio/a partecipa periodicamente a sedute di neuropsicomotricità, fisioterapia e/o logopedia?;Se suo/a figlio/a partecipa periodicamente a delle sedute di neuropsicomotricità, fisioterapia e/o logopedia (o un altro servizio), chi lo accompagna partecipa alle sedute?;Se suo/a figlio/a partecipa periodicamente a delle sedute riabilitative, come genitori sapete che tipo di giochi gli/le vengono proposti?;;;
21;F;Madre;0;;Madre;2,5;0;0;0;2;Sonagli, giochi sensoriali;Sonagli, giochi sensoriali;Sì;;Molto;Molto;0;Non conosciamo altri bambini;1;No;;Area motoria;2;Sì, partecipo come osservatore;Sì, di solito partecipo alle sedute;;;
24;M;Madre;1;48;Madre;2,5;2,5;2;0;2,5;Giochi di finzione: cucinare, dottore, pulire, Giochi di tipo motorio: correre, saltare, nascondino;Puzzle, incastri;Sì;;Molto;Molto;3;;1;No;;Area motoria, Area del linguaggio;3;No, non partecipo alle sedute;Sì, anche se non partecipo: non sto nella stanza, ma mi viene riferito;;;
24;M;Madre;1;84;Fratello/Sorella;5;5;3;2;3;Costruzioni, lego, Bambole, pupazzi, barbie;Costruzioni, lego, Puzzle, incastri, Macchinine/veicoli, Giochi di tipo motorio: correre, saltare, nascondino, Bambole, pupazzi, barbie;No;Mancanza di tempo;Molto;Abbastanza;2;;2;No;;Area del linguaggio;0;;;;;
26;F;Madre;1;60;Fratello/Sorella;2,5;2,5;2,5;0;0;Canzoncine, filastrocche, musica;Costruzioni, lego, Canzoncine, filastrocche, musica;No;Mancanza di tempo;Molto;Molto;3;;1;No;;Area motoria, Area del linguaggio;2;Sì, partecipo come osservatore;Sì, di solito partecipo alle sedute;;;
26;M;Madre;0;;Padre;5;5;0;0;3;Macchinine/veicoli;Giochi di finzione: cucinare, dottore, pulire;No;Mancanza di tempo e non so come farlo giocare;Poco;Molto;0;Non conosciamo altri bambini;1;No;;Nessuna;0;;;;;
27;F;Madre;0;;Madre;3,5;5;2,5;2,5;3;Giochi di tipo motorio: correre, saltare, nascondino, Tablet/smartphone/computer, Bambole, pupazzi, barbie;Canzoncine, filastrocche, musica, Giochi di tipo motorio: correre, saltare, nascondino, Tablet/smartphone/computer, Bambole, pupazzi, barbie;No;Mancanza di tempo;Abbastanza;Abbastanza;1;;2;No;;Area relazionale, Area del linguaggio, Area comportamentale;2;Sì, partecipo attivamente;Sì, di solito partecipo alle sedute;;;
28;M;Madre;1;60;Madre, Fratello/Sorella;3,5;5;0;0;2;Puzzle, incastri;Costruzioni, lego, Canzoncine, filastrocche, musica, Puzzle, incastri, Giochi di tipo motorio: correre, saltare, nascondino, Tablet/smartphone/computer;No;Mancanza di tempo;Abbastanza;Molto;2;;2;No;;Area relazionale, Area del linguaggio, Area cognitiva/intellettiva;2;No, non partecipo alle sedute;Sì, anche se non partecipo: non sto nella stanza, ma mi viene riferito;;;
31;M;Padre;2;10, 60;Fratello/Sorella;2,5;5;2,5;0;2,5;Costruzioni, lego, Puzzle, incastri, Macchinine/veicoli, Giochi di tipo motorio: correre, saltare, nascondino;Macchinine/veicoli, Giochi di tipo motorio: correre, saltare, nascondino, Disegnare;Sì;;Molto;Molto;2;;2;No;;Area del linguaggio;0;;;;;
32;M;Madre;0;;Padre;2,5;3,5;2;0;2;Canzoncine, filastrocche, musica, Macchinine/veicoli, Tablet/smartphone/computer, Animali, disegnare;Canzoncine, filastrocche, musica, Macchinine/veicoli, Animali, disegnare;No;Mancanza di tempo;Molto;Poco;0;A mio/a figlio/a non piace giocare con altri bambini;1;No;;Area relazionale, Area del linguaggio, Area cognitiva/intellettiva;0;;;;;
32;M;Madre;0;;Madre;3,5;3,5;3;0;0;Macchinine/veicoli;Tablet/smartphone/computer;No;Non so a cosa giocare e lui preferisce giocare da solo;Abbastanza;Molto;0;Non conosciamo altri bambini;2;No;;Area del linguaggio;1;Sì, partecipo come osservatore;Sì, di solito partecipo alle sedute;;;
